"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"04/01/2024 19:30 - 04/01/2024 20:00","Ireland (IE)","5002.07","5588.00"
"04/01/2024 20:00 - 04/01/2024 20:30","Ireland (IE)","4902.02","5485.00"
"04/01/2024 20:30 - 04/01/2024 21:00","Ireland (IE)","4815.82","5382.00"
"04/01/2024 21:00 - 04/01/2024 21:30","Ireland (IE)","4707.99","5266.00"
"04/01/2024 21:30 - 04/01/2024 22:00","Ireland (IE)","4586.82","5151.00"
"04/01/2024 22:00 - 04/01/2024 22:30","Ireland (IE)","4474.29","4995.00"
"04/01/2024 22:30 - 04/01/2024 23:00","Ireland (IE)","4319.16","4840.00"
"04/01/2024 23:00 - 04/01/2024 23:30","Ireland (IE)","4172.40","4646.00"
"04/01/2024 23:30 - 05/01/2024 00:00","Ireland (IE)","3984.35","4453.00"
"05/01/2024 00:00 - 05/01/2024 00:30","Ireland (IE)","3867.32","4378.00"
"05/01/2024 00:30 - 05/01/2024 01:00","Ireland (IE)","3808.40","4303.00"
"05/01/2024 01:00 - 05/01/2024 01:30","Ireland (IE)","3671.71","4253.00"
"05/01/2024 01:30 - 05/01/2024 02:00","Ireland (IE)","3582.58","4203.00"
"05/01/2024 02:00 - 05/01/2024 02:30","Ireland (IE)","3478.75","4063.00"
"05/01/2024 02:30 - 05/01/2024 03:00","Ireland (IE)","3430.64","3924.00"
"05/01/2024 03:00 - 05/01/2024 03:30","Ireland (IE)","3346.31","3875.00"
"05/01/2024 03:30 - 05/01/2024 04:00","Ireland (IE)","3335.00","3826.00"
"05/01/2024 04:00 - 05/01/2024 04:30","Ireland (IE)","3286.78","3798.00"
"05/01/2024 04:30 - 05/01/2024 05:00","Ireland (IE)","3255.96","3771.00"
"05/01/2024 05:00 - 05/01/2024 05:30","Ireland (IE)","3243.54","3767.00"
"05/01/2024 05:30 - 05/01/2024 06:00","Ireland (IE)","3219.46","3763.00"
"05/01/2024 06:00 - 05/01/2024 06:30","Ireland (IE)","3240.20","3839.00"
"05/01/2024 06:30 - 05/01/2024 07:00","Ireland (IE)","3283.89","3915.00"
"05/01/2024 07:00 - 05/01/2024 07:30","Ireland (IE)","3413.25","4126.00"
"05/01/2024 07:30 - 05/01/2024 08:00","Ireland (IE)","3591.09","4337.00"
"05/01/2024 08:00 - 05/01/2024 08:30","Ireland (IE)","3762.47","4591.00"
"05/01/2024 08:30 - 05/01/2024 09:00","Ireland (IE)","4000.99","4846.00"
"05/01/2024 09:00 - 05/01/2024 09:30","Ireland (IE)","4178.15","4900.00"
"05/01/2024 09:30 - 05/01/2024 10:00","Ireland (IE)","4293.85","4954.00"
"05/01/2024 10:00 - 05/01/2024 10:30","Ireland (IE)","4418.51","4958.00"
"05/01/2024 10:30 - 05/01/2024 11:00","Ireland (IE)","4550.28","4962.00"
"05/01/2024 11:00 - 05/01/2024 11:30","Ireland (IE)","4558.09","4988.00"
"05/01/2024 11:30 - 05/01/2024 12:00","Ireland (IE)","4562.72","5013.00"
"05/01/2024 12:00 - 05/01/2024 12:30","Ireland (IE)","4531.80","5031.00"
"05/01/2024 12:30 - 05/01/2024 13:00","Ireland (IE)","4528.91","5049.00"
"05/01/2024 13:00 - 05/01/2024 13:30","Ireland (IE)","4513.81","5057.00"
"05/01/2024 13:30 - 05/01/2024 14:00","Ireland (IE)","4506.75","5066.00"
"05/01/2024 14:00 - 05/01/2024 14:30","Ireland (IE)","4514.04","5058.00"
"05/01/2024 14:30 - 05/01/2024 15:00","Ireland (IE)","4463.86","5050.00"
"05/01/2024 15:00 - 05/01/2024 15:30","Ireland (IE)","4416.42","5051.00"
"05/01/2024 15:30 - 05/01/2024 16:00","Ireland (IE)","4426.78","5052.00"
"05/01/2024 16:00 - 05/01/2024 16:30","Ireland (IE)","4429.85","5085.00"
"05/01/2024 16:30 - 05/01/2024 17:00","Ireland (IE)","4468.72","5118.00"
"05/01/2024 17:00 - 05/01/2024 17:30","Ireland (IE)","4497.31","5226.00"
"05/01/2024 17:30 - 05/01/2024 18:00","Ireland (IE)","4627.28","5335.00"
"05/01/2024 18:00 - 05/01/2024 18:30","Ireland (IE)","4843.07","5464.00"
"05/01/2024 18:30 - 05/01/2024 19:00","Ireland (IE)","4983.33","5592.00"
"05/01/2024 19:00 - 05/01/2024 19:30","Ireland (IE)","4956.40","5539.00"
"05/01/2024 19:30 - 05/01/2024 20:00","Ireland (IE)","4914.89","5485.00"
"05/01/2024 20:00 - 05/01/2024 20:30","Ireland (IE)","4820.74","5379.00"
"05/01/2024 20:30 - 05/01/2024 21:00","Ireland (IE)","4729.75","5273.00"
"05/01/2024 21:00 - 05/01/2024 21:30","Ireland (IE)","4613.73","5151.00"
"05/01/2024 21:30 - 05/01/2024 22:00","Ireland (IE)","4522.47","5029.00"
"05/01/2024 22:00 - 05/01/2024 22:30","Ireland (IE)","4397.81","4883.00"
"05/01/2024 22:30 - 05/01/2024 23:00","Ireland (IE)","4251.02","4737.00"
"05/01/2024 23:00 - 05/01/2024 23:30","Ireland (IE)","4106.81","4554.00"
"05/01/2024 23:30 - 06/01/2024 00:00","Ireland (IE)","3977.87","4370.00"
"06/01/2024 00:00 - 06/01/2024 00:30","Ireland (IE)","3866.14","4344.00"
"06/01/2024 00:30 - 06/01/2024 01:00","Ireland (IE)","3876.14","4318.00"
"06/01/2024 01:00 - 06/01/2024 01:30","Ireland (IE)","3738.66","4200.00"
